Set asociativity	Block size	Cache size[KB]	Block number	Cache Hit	Cache Miss	Hit ratio

----------------------------------------------------------------------------------
4	128	2	16	9801560	198441	98,02

4	64	2	32	9814761	185240	98,15

8	64	2	32	9822503	177498	98,23

4	32	2	64	9788750	211251	97,89

8	32	2	64	9803725	196276	98,04

16	32	2	64	9877956	122045	98,78

4	16	2	128	9731461	268540	97,31

8	16	2	128	9745960	254041	97,46

16	16	2	128	9856721	143280	98,57

32	16	2	128	9855531	144470	98,56

4	128	8	64	9937782	62219	99,38

8	128	8	64	9956068	43933	99,56

16	128	8	64	9969581	30420	99,70

4	64	8	128	9937092	62909	99,37

8	64	8	128	9958845	41156	99,59

16	64	8	128	9972006	27995	99,72

32	64	8	128	9977989	22012	99,78

4	32	8	256	9930266	69735	99,30

8	32	8	256	9954900	45101	99,55

16	32	8	256	9967173	32828	99,67

32	32	8	256	9972230	27771	99,72

4	16	8	512	9911672	88329	99,12

8	16	8	512	9940943	59058	99,41

16	16	8	512	9953963	46038	99,54

32	16	8	512	9956341	43660	99,56

4	128	32	256	9968778	31223	99,69

8	128	32	256	9983226	16775	99,83

16	128	32	256	9995223	4778	99,95

32	128	32	256	9997348	2653	99,97

4	64	32	512	9967071	32930	99,67

8	64	32	512	9981323	18678	99,81

16	64	32	512	9993526	6475	99,94

32	64	32	512	9995533	4468	99,96

4	32	32	1024	9963328	36673	99,63

8	32	32	1024	9977649	22352	99,78

16	32	32	1024	9989864	10137	99,90

32	32	32	1024	9991786	8215	99,92

4	16	32	2048	9955020	44981	99,55

8	16	32	2048	9969892	30109	99,70

16	16	32	2048	9982418	17583	99,82

32	16	32	2048	9984558	15443	99,85

4	128	128	1024	9971480	28521	99,71

8	128	128	1024	9988049	11952	99,88

16	128	128	1024	9996622	3379	99,97

32	128	128	1024	9998643	1358	99,99

4	64	128	2048	9970376	29625	99,70

8	64	128	2048	9986923	13078	99,87

16	64	128	2048	9995460	4541	99,95

32	64	128	2048	9997534	2467	99,98

4	32	128	4096	9968191	31810	99,68

8	32	128	4096	9984793	15208	99,85

16	32	128	4096	9993259	6742	99,93

32	32	128	4096	9995365	4636	99,95

4	16	128	8192	9963551	36450	99,64

8	16	128	8192	9980146	19855	99,80

16	16	128	8192	9988953	11048	99,89

32	16	128	8192	9990944	9057	99,91

4	128	512	4096	9983391	16610	99,83

8	128	512	4096	9986486	13515	99,86

16	128	512	4096	9998186	1815	99,98

32	128	512	4096	9998961	1040	99,99

4	64	512	8192	9982485	17516	99,82

8	64	512	8192	9985506	14495	99,86

16	64	512	8192	9997234	2767	99,97

32	64	512	8192	9997945	2056	99,98

4	32	512	16384	9980642	19359	99,81

8	32	512	16384	9983439	16562	99,83

16	32	512	16384	9995315	4686	99,95

32	32	512	16384	9996125	3876	99,96

4	16	512	32768	9976795	23206	99,77

8	16	512	32768	9979186	20815	99,79

16	16	512	32768	9991605	8396	99,92

32	16	512	32768	9992204	7797	99,92

4	128	2048	16384	9998512	1489	99,99

8	128	2048	16384	9998995	1006	99,99

16	128	2048	16384	9999030	971	99,99

32	128	2048	16384	9998984	1017	99,99

4	64	2048	32768	9997590	2411	99,98

8	64	2048	32768	9998076	1925	99,98

16	64	2048	32768	9998123	1878	99,98

32	64	2048	32768	9997991	2010	99,98

4	32	2048	65536	9995747	4254	99,96

8	32	2048	65536	9996232	3769	99,96

16	32	2048	65536	9996287	3714	99,96

32	32	2048	65536	9996225	3776	99,96

4	16	2048	131072	9994470 5530	99,94

8	16	2048	131072	9994232 5768	99,94

16	16	2048	131072	9993891 6109	99,94

32	16	2048	131072	9994068 5932	99,94
