Set asociativity	Block size	Cache size[KB]	Block number	Cache Hit	Cache Miss	Hit ratio

----------------------------------------------------------------------------------
4	128	2	16	9947080	52921	99,47

4	64	2	32	9944718	55283	99,45

8	64	2	32	9970502	29499	99,71

4	32	2	64	9927559	72442	99,28

8	32	2	64	9956882	43119	99,57

16	32	2	64	9970574	29427	99,71

4	16	2	128	9892899	107102	98,93

8	16	2	128	9923437	76564	99,23

16	16	2	128	9948246	51755	99,48

32	16	2	128	9947676	52325	99,48

4	128	8	64	9969008	30993	99,69

8	128	8	64	9994358	5643	99,94

16	128	8	64	9994049	5952	99,94

4	64	8	128	9964644	35357	99,65

8	64	8	128	9989659	10342	99,90

16	64	8	128	9989953	10048	99,90

32	64	8	128	9989611	10390	99,90

4	32	8	256	9955319	44682	99,55

8	32	8	256	9980588	19413	99,81

16	32	8	256	9980550	19451	99,81

32	32	8	256	9980717	19284	99,81

4	16	8	512	9939059	60942	99,39

8	16	8	512	9962173	37828	99,62

16	16	8	512	9962077	37924	99,62

32	16	8	512	9962067	37934	99,62

4	128	32	256	9970603	29398	99,71

8	128	32	256	9995686	4315	99,96

16	128	32	256	9995883	4118	99,96

32	128	32	256	9995862	4139	99,96

4	64	32	512	9966606	33395	99,67

8	64	32	512	9991797	8204	99,92

16	64	32	512	9991924	8077	99,92

32	64	32	512	9991961	8040	99,92

4	32	32	1024	9958744	41257	99,59

8	32	32	1024	9984075	15926	99,84

16	32	32	1024	9984184	15817	99,84

32	32	32	1024	9984253	15748	99,84

4	16	32	2048	9942724	57277	99,43

8	16	32	2048	9967780	32221	99,68

16	16	32	2048	9968591	31410	99,69

32	16	32	2048	9968699	31302	99,69

4	128	128	1024	9983092	16909	99,83

8	128	128	1024	9996961	3040	99,97

16	128	128	1024	9997188	2813	99,97

32	128	128	1024	9997436	2565	99,97

4	64	128	2048	9980019	19982	99,80

8	64	128	2048	9993635	6366	99,94

16	64	128	2048	9994877	5124	99,95

32	64	128	2048	9994978	5023	99,95

4	32	128	4096	9973636	26365	99,74

8	32	128	4096	9989847	10154	99,90

16	32	128	4096	9990295	9706	99,90

32	32	128	4096	9990385	9616	99,90

4	16	128	8192	9966100	33901	99,66

8	16	128	8192	9980310	19691	99,80

16	16	128	8192	9980425	19576	99,80

32	16	128	8192	9981120	18881	99,81

4	128	512	4096	9993676	6325	99,94

8	128	512	4096	9999057	944	99,99

16	128	512	4096	9999167	834	99,99

32	128	512	4096	9999139	862	99,99

4	64	512	8192	9992937	7064	99,93

8	64	512	8192	9998283	1718	99,98

16	64	512	8192	9998449	1552	99,98

32	64	512	8192	9998325	1676	99,98

4	32	512	16384	9991450	8551	99,91

8	32	512	16384	9996205	3796	99,96

16	32	512	16384	9996890	3111	99,97

32	32	512	16384	9996768	3233	99,97

4	16	512	32768	9987878	12123	99,88

8	16	512	32768	9992817	7184	99,93

16	16	512	32768	9993903	6098	99,94

32	16	512	32768	9993577	6424	99,94

4	128	2048	16384	9998838	1163	99,99

8	128	2048	16384	9999228	773	99,99

16	128	2048	16384	9999223	778	99,99

32	128	2048	16384	9999201	800	99,99

4	64	2048	32768	9998107	1894	99,98

8	64	2048	32768	9998499	1502	99,98

16	64	2048	32768	9998498	1503	99,98

32	64	2048	32768	9998478	1523	99,98

4	32	2048	65536	9996657	3344	99,97

8	32	2048	65536	9997045	2956	99,97

16	32	2048	65536	9997048	2953	99,97

32	32	2048	65536	9996976	3025	99,97

4	16	2048	131072	9993755	6246	99,94

8	16	2048	131072	9994149	5852	99,94

16	16	2048	131072	9994059	5941	99,94

32	16	2048	131072	9994336	5664	99,94
