Set asociativity	Block size	Cache size[KB]	Block number	Cache Hit	Cache Miss	Hit ratio

----------------------------------------------------------------------------------
4	128	2	16	9997823	2178	99,98

4	64	2	32	9997987	2014	99,98

8	64	2	32	9999761	240	100,00

4	32	2	64	9999630	371	100,00

8	32	2	64	9999762	239	100,00

16	32	2	64	9999749	252	100,00

4	16	2	128	9999473	528	99,99

8	16	2	128	9996497	3504	99,96

16	16	2	128	9999599	402	100,00

32	16	2	128	9998903	1098	99,99

4	128	8	64	9999982	19	100,00

8	128	8	64	9999979	22	100,00

16	128	8	64	9999980	21	100,00

4	64	8	128	9999964	37	100,00

8	64	8	128	9999963	38	100,00

16	64	8	128	9999963	38	100,00

32	64	8	128	9999961	40	100,00

4	32	8	256	9999930	71	100,00

8	32	8	256	9999932	69	100,00

16	32	8	256	9999930	71	100,00

32	32	8	256	9999903	98	100,00

4	16	8	512	9999866	135	100,00

8	16	8	512	9999868	133	100,00

16	16	8	512	9999866	135	100,00

32	16	8	512	9999852	149	100,00

4	128	32	256	9999982	19	100,00

8	128	32	256	9999981	20	100,00

16	128	32	256	9999981	20	100,00

32	128	32	256	9999981	20	100,00

4	64	32	512	9999965	36	100,00

8	64	32	512	9999965	36	100,00

16	64	32	512	9999965	36	100,00

32	64	32	512	9999965	36	100,00

4	32	32	1024	9999932	69	100,00

8	32	32	1024	9999932	69	100,00

16	32	32	1024	9999932	69	100,00

32	32	32	1024	9999932	69	100,00

4	16	32	2048	9999868	133	100,00

8	16	32	2048	9999868	133	100,00

16	16	32	2048	9999868	133	100,00

32	16	32	2048	9999868	133	100,00

4	128	128	1024	9999982	19	100,00

8	128	128	1024	9999982	19	100,00

16	128	128	1024	9999982	19	100,00

32	128	128	1024	9999981	20	100,00

4	64	128	2048	9999965	36	100,00

8	64	128	2048	9999965	36	100,00

16	64	128	2048	9999965	36	100,00

32	64	128	2048	9999965	36	100,00

4	32	128	4096	9999932	69	100,00

8	32	128	4096	9999932	69	100,00

16	32	128	4096	9999932	69	100,00

32	32	128	4096	9999932	69	100,00

4	16	128	8192	9999868	133	100,00

8	16	128	8192	9999868	133	100,00

16	16	128	8192	9999868	133	100,00

32	16	128	8192	9999868	133	100,00

4	128	512	4096	9999982	19	100,00

8	128	512	4096	9999982	19	100,00

16	128	512	4096	9999982	19	100,00

32	128	512	4096	9999982	19	100,00

4	64	512	8192	9999965	36	100,00

8	64	512	8192	9999965	36	100,00

16	64	512	8192	9999965	36	100,00

32	64	512	8192	9999965	36	100,00

4	32	512	16384	9999932	69	100,00

8	32	512	16384	9999932	69	100,00

16	32	512	16384	9999932	69	100,00

32	32	512	16384	9999932	69	100,00

4	16	512	32768	9999868	133	100,00

8	16	512	32768	9999868	133	100,00

16	16	512	32768	9999868	133	100,00

32	16	512	32768	9999868	133	100,00

4	128	2048	16384	9999982	19	100,00

8	128	2048	16384	9999982	19	100,00

16	128	2048	16384	9999982	19	100,00

32	128	2048	16384	9999982	19	100,00

4	64	2048	32768	9999965	36	100,00

8	64	2048	32768	9999965	36	100,00

16	64	2048	32768	9999965	36	100,00

32	64	2048	32768	9999965	36	100,00

4	32	2048	65536	9999932	69	100,00

8	32	2048	65536	9999932	69	100,00

16	32	2048	65536	9999932	69	100,00

32	32	2048	65536	9999932	69	100,00

4	16	2048	131072	9999980 21	100,00

8	16	2048	131072	9999980 21	100,00

16	16	2048	131072	9999980 21	100,00

32	16	2048	131072	9999980 21	100,00

